"decile","pred","obs","n"
"[0.00318,0.0264]",0.0153649664086685,0.0903010033444816,299
"(0.0264,0.064]",0.0427867356670787,0.100671140939597,298
"(0.064,0.129]",0.0940422247198346,0.10738255033557,298
"(0.129,0.236]",0.17931398818614,0.164429530201342,298
"(0.236,0.378]",0.305724135371476,0.187290969899666,299
"(0.378,0.536]",0.454767687774907,0.204697986577181,298
"(0.536,0.691]",0.616109167716335,0.308724832214765,298
"(0.691,0.817]",0.754520999669775,0.36241610738255,298
"(0.817,0.915]",0.869097375869524,0.469798657718121,298
"(0.915,1]",0.962673240819581,0.608695652173913,299
